dur_s,eef_std_x,eef_std_y,eef_std_z,idle_frac,label,n_cmds,net_disp,path_len,pos,stub,tortuosity,uid,wander
77.0,0.1228,0.0492,0.0885,0.7696,success,4619,0.2753,2.2374,1,0,8.126,287,0.0831
55.5,0.1028,0.0903,0.0947,0.7235,fail,3328,0.3464,1.9066,0,0,5.504,288,0.0966
10.1,0.0908,0.1216,0.0009,0.6196,fail,603,0.1594,0.7169,2,0,4.498,289,0.0808
5.9,0.0,0.0,0.0,1.0,success,356,0.0001,0.0004,2,0,7.166,290,0.0
102.4,0.106,0.0442,0.0832,0.6883,success,6142,0.3784,3.9857,0,0,10.533,293,0.0799
89.4,0.1375,0.1011,0.0867,0.7071,success,5364,0.3961,2.8697,1,0,7.244,294,0.1094
103.9,0.1014,0.0314,0.0762,0.7564,success,6233,0.3852,2.4273,2,0,6.301,295,0.0827
46.5,0.0905,0.1045,0.0768,0.7427,fail,2791,0.1342,1.7796,2,0,13.262,296,0.1691
19.0,0.0796,0.0981,0.0695,0.5224,success,1138,0.1816,1.4971,0,0,8.242,297,0.2188
17.4,0.0929,0.0561,0.0723,0.4909,success,1042,0.2621,1.4426,1,0,5.505,298,0.0713
43.5,0.1212,0.0531,0.0723,0.642,success,2613,0.3395,2.3037,2,0,6.786,299,0.0953
79.5,0.1374,0.0464,0.0573,0.6813,success,4771,0.3335,2.7426,2,0,8.225,300,0.037
27.5,0.1047,0.0906,0.0768,0.4506,success,1652,0.3876,2.01,0,0,5.186,301,0.0789
19.4,0.0986,0.0376,0.0677,0.4936,success,1164,0.3483,1.476,1,0,4.238,302,0.0638
38.4,0.1077,0.0758,0.082,0.3806,success,2305,0.3483,3.37,2,0,9.676,303,0.0904
34.7,0.1084,0.0909,0.0714,0.6186,success,2080,0.2996,1.8875,0,0,6.299,304,0.0854
21.0,0.1015,0.0458,0.0788,0.5131,success,1262,0.3097,1.4623,1,0,4.721,305,0.0667
42.1,0.116,0.0717,0.0715,0.5245,success,2529,0.1841,3.0213,2,0,16.409,306,0.1636
