world,arm,uid,ic_uid,stage,n_rows,path_len,net_disp,tortuosity,idle_frac,wander,mean_step,eef_std_x,eef_std_y,eef_std_z,reward_sum
w3,dDP,104011,330,picked,231,1.1874,0.1577,7.53,0.0,0.0798,0.00514,0.0292,0.0622,0.0302,1.0
w3,dDP,104012,267,picked,79,0.5265,0.1567,3.36,0.0,0.0699,0.00666,0.039,0.0685,0.0354,1.0
w3,dDP,104013,329,picked,80,0.2892,0.1061,2.726,0.0,0.0566,0.00361,0.0357,0.015,0.0172,1.0
w3,dDP,105002,252,picked,227,0.4442,0.1046,4.247,0.0,0.0753,0.00196,0.039,0.0091,0.0134,1.0
w3,dDP,105003,265,picked,201,0.5052,0.1673,3.02,0.0,0.0613,0.00251,0.039,0.0191,0.0282,1.0
w3,dDP,105005,279,picked,199,0.4095,0.1527,2.683,0.0,0.0239,0.00206,0.051,0.049,0.0279,1.0
w3,dDP,105006,287,picked,216,0.8103,0.0364,22.291,0.0,0.0973,0.00375,0.0462,0.0218,0.0293,1.0
w3,dDP,105008,309,picked,98,0.5236,0.0431,12.157,0.0,0.0848,0.00534,0.0458,0.0141,0.0168,1.0
w3,dDP,105009,320,picked,186,0.8379,0.1347,6.218,0.0,0.0562,0.0045,0.0434,0.0451,0.0593,1.0
w3,dDP,105010,335,picked,95,0.3737,0.1563,2.391,0.0,0.057,0.00393,0.0403,0.0476,0.0215,1.0
w3,dDP,105011,275,picked,118,0.5612,0.1872,2.998,0.0,0.0476,0.00476,0.0308,0.0505,0.0284,1.0
w3,dDP,105012,333,picked,125,0.46,0.2136,2.154,0.0,0.065,0.00368,0.0408,0.0453,0.0296,1.0
