world,arm,uid,ic_uid,stage,n_rows,path_len,tortuosity,wander,speed_mean,speed_std,speed_cv,accel_mean,jerk_mean,jerk_per_len,pause_frac,strict_stop_frac,stop_frac_02mm,stop_frac_1mm,stop_frac_2mm,moving_speed_mean,joint_speed_mean,joint_jerk_mean,act_autocorr1,act_hf_frac,act_hf_frac_w32,act_signflip_rate,speed_perm_entropy,act_mag_mean,can_path_len,can_moved_frac,contact_events,can_move_open_frac,grip_cmd_flip,grip_close_events,effort_std,tilt_max,tilt_inhand_mean,retreat_frac,approach_reversals,backtrack_frac,trans_kinds,trans_entropy,nnIC_path_div
w3,dH,100000,232,picked,60,0.354,2.37,0.0386,0.005899516468135572,0.004393287047125565,0.7446859536462958,0.004432836606480362,0.005739860017216403,0.9405061211278155,0.18333333333333332,0.11666666666666667,0.05,0.18333333333333332,0.26666666666666666,0.0066482906693162746,0.04438586547104215,0.03517236230301501,0.6388050953092894,0.10001753557779818,0.1628466455665671,0.1807909604519774,0.9649723659988001,0.14885788824823168,0.1208238797432231,0.3389830508474576,1,0.11864406779661017,1,1,4.829353714977791,6.720913201408409,4.404723096337105,0.23809523809523808,2,0.16363636363636364,34,4.752538513461185,0.02861946681506664
w3,dH,100001,247,picked,109,0.508,2.327,0.0629,0.004660687167329956,0.005336446142771795,1.1449912751447278,0.0030361520527467066,0.004085081627788223,0.8604151829155314,0.43119266055045874,0.43119266055045874,0.3302752293577982,0.44954128440366975,0.48623853211009177,0.008110214065361757,0.029267400757960776,0.022641914882308836,0.6923059896264486,0.08456217160177981,0.19980537604995954,0.11882716049382715,0.9566738370556138,0.10019587404137358,0.10520942134288182,0.12037037037037036,3,0.009259259259259259,1,1,8.163933480537608,4.310137853464601,3.724528433594681,0.18666666666666668,1,0.20192307692307693,37,3.7227485172948827,0.0726564861325063
w3,dH,100002,258,picked,70,0.4451,5.253,0.0808,0.0063590220673862925,0.005599482467527204,0.8805571687265308,0.0037940035177276427,0.004871612907094022,0.7442062500714789,0.35714285714285715,0.3,0.21428571428571427,0.32857142857142857,0.35714285714285715,0.009003407992768222,0.04719306065537502,0.02752454956728346,0.7591239327605122,0.08320708488841749,0.1815211725370155,0.16425120772946858,0.9715772371532608,0.16064979771063448,0.18379779868020146,0.37681159420289856,6,0.14492753623188406,1,1,9.328012323905671,4.372869375688777,4.16158998718063,0.275,2,0.2153846153846154,35,4.315089397223288,0.05190298764187243
w3,dH,100003,273,picked,98,0.3561,2.375,0.0647,0.003633749919730406,0.005333646044528303,1.4678076814168917,0.0021088827547890393,0.0024765132995637376,0.6676222264622784,0.22448979591836735,0.5408163265306123,0.40816326530612246,0.6326530612244898,0.6530612244897959,0.007748603453168911,0.024874640026504462,0.01400305160827752,0.7850460040464992,0.03433122853167054,0.14476985758323524,0.13917525773195874,0.9588618266740877,0.09318043737589908,0.11689601040118006,0.15463917525773196,3,0.010309278350515464,1,1,5.025276108163471,4.51825885800399,4.0478057042363265,0.14516129032258066,1,0.3225806451612903,24,2.754005417703805,0.034379546195128376
w3,dH,100004,281,picked,116,0.4954,2.484,0.0315,0.004270783521427722,0.005692522665605595,1.3328989018161674,0.0022539845055542574,0.002684659464778487,0.6177724109381049,0.4051724137931034,0.5172413793103449,0.45689655172413796,0.5775862068965517,0.603448275862069,0.008780536273079372,0.035437367685794585,0.017492308193997427,0.8228675159814877,0.04281273860734445,0.2190789257027255,0.11449275362318839,0.9858586613721723,0.1247190148837265,0.10475838171850844,0.13043478260869565,2,0.008695652173913044,3,2,4.411907563739406,4.7314517506721065,1.032717599619733,0.0,0,0.32432432432432434,31,3.124564458878608,0.058921831684157246
w3,dH,100005,298,picked,75,0.3777,3.415,0.0765,0.00503583810578913,0.005936277026414318,1.1788061692432201,0.0026049788883255594,0.0034801203690668263,0.6726421874704493,0.29333333333333333,0.4,0.21333333333333335,0.4666666666666667,0.5333333333333333,0.008268144494048143,0.03335426727760671,0.0189983386446312,0.7843270990516241,0.0675371494572121,0.1397561368408487,0.15315315315315317,0.9538894170712413,0.11472423921028775,0.12990624866680356,0.24324324324324326,2,0.013513513513513514,1,1,7.20177099785828,4.409649179702876,3.9560907249373165,0.11904761904761904,1,0.11428571428571428,24,3.4526950090947635,0.042195236967863814
w3,dH,100006,308,picked,85,0.5503,6.97,0.0838,0.006473677120383482,0.006211955926781677,0.9595714786612185,0.0033661511524535437,0.004114299241457407,0.6205889057753862,0.36470588235294116,0.35294117647058826,0.18823529411764706,0.36470588235294116,0.38823529411764707,0.009891141318496957,0.04261582277057665,0.0202635032952191,0.8373932391687816,0.03831323383173353,0.07243548245015317,0.11706349206349205,0.9680241538335885,0.15651627136211768,0.2797860988142771,0.4880952380952381,4,0.08333333333333333,1,1,5.087429775548398,5.386446698618913,4.075625299319068,0.22727272727272727,1,0.175,29,3.7094675406056066,0.05056371599560994
w3,dH,100007,320,picked,195,0.5686,3.685,0.0581,0.0029160807005158625,0.004295816651910741,1.4731473827698935,0.002096686640997926,0.002706645971106235,0.9186595896107427,0.20512820512820512,0.5538461538461539,0.36923076923076925,0.6051282051282051,0.6564102564102564,0.0063435793564302866,0.021489594018775742,0.014810819516850772,0.7380382855987566,0.08318293916786385,0.24067663796421024,0.12457044673539519,0.96524997627466,0.06996903765914789,0.19999313845751754,0.18556701030927836,7,0.05154639175257732,1,1,7.762129001360111,4.826043487275886,4.13733624943313,0.10784313725490197,1,0.3894736842105263,43,3.217644834236686,0.035975289943709056
w3,dH,100008,333,picked,124,0.4364,2.101,0.068,0.0035191589639481835,0.005116205594536934,1.4538148594449982,0.00145104466130974,0.0018908361703381205,0.5286316508603769,0.18548387096774194,0.6129032258064516,0.4596774193548387,0.6290322580645161,0.6693548387096774,0.008886682893071663,0.02612798003764212,0.011027421694669807,0.8291963204616827,0.05498470054468655,0.22375431599273557,0.06504065040650407,0.972428558038661,0.08846751464310525,0.12725731948432767,0.13008130081300814,2,0.008130081300813009,1,1,8.251949628460558,4.433044703869544,3.815683320178681,0.12698412698412698,1,0.2773109243697479,27,2.617875156417217,0.05847412210002088
w3,dH,101000,233,picked,62,0.4036,3.415,0.0495,0.006510115848167557,0.0053929291715526465,0.8283921972096131,0.005106015890634628,0.006145237203215493,0.9135019842574983,0.2903225806451613,0.22580645161290322,0.11290322580645161,0.25806451612903225,0.3225806451612903,0.00833958877308807,0.04402237328885164,0.03799184630744217,0.6029469858083405,0.11931195421026534,0.09304388557058267,0.24863387978142074,0.971723778631778,0.1554545785090135,0.14792809714287206,0.3114754098360656,3,0.01639344262295082,1,1,8.944927444376424,4.3662249981018055,3.945276876996332,0.4,3,0.22807017543859648,28,4.23182675612606,0.031401469943242576
