world,arm,uid,ic_uid,stage,n_rows,path_len,tortuosity,wander,speed_mean,speed_std,speed_cv,accel_mean,jerk_mean,jerk_per_len,pause_frac,joint_speed_mean,joint_jerk_mean,act_autocorr1,act_hf_frac,act_signflip_rate,speed_perm_entropy,act_mag_mean,can_path_len,can_moved_frac,contact_events,can_move_open_frac,grip_cmd_flip,grip_close_events,effort_std,tilt_max,tilt_inhand_mean,retreat_frac,approach_reversals,backtrack_frac,trans_kinds,trans_entropy,nnIC_path_div
old,dH,100000,232,picked,61,0.3275,2.332,0.0338,0.005369462387288576,0.00356454406341329,0.6638549274228703,0.003231748381552897,0.003951644020873581,0.7118183620909182,0.16393442622950818,0.041072823611428985,0.023933914955416264,0.6303633569817332,0.10484176673289135,0.18611111111111112,0.9490340558510479,0.14444260486488136,0.1052310100283274,0.2833333333333333,2,0.08333333333333333,1,1,5.005880763142163,6.234934831995309,4.280053842122614,0.2682926829268293,1,0.17857142857142858,33,4.725396559934517,0.028312344336994394
old,dH,100001,247,picked,112,0.514,2.428,0.0632,0.004589649076416292,0.004290099110114655,0.9347335795582147,0.0022428301119276424,0.00286031616878871,0.6120814571164502,0.16964285714285715,0.029234801124401567,0.01630008269009679,0.6992958799832869,0.08851934074536416,0.1216216216216216,0.9110331309734356,0.10127960704267025,0.1655730351907376,0.25225225225225223,4,0.10810810810810811,1,1,8.79288972478133,6.201276645840218,4.837397579841356,0.10526315789473684,1,0.037383177570093455,39,4.533038824301267,0.06602225483916023
old,dH,100002,258,picked,74,0.4195,5.25,0.0733,0.005668267568587219,0.005490933168937653,0.9687145327026674,0.002861766845257097,0.0033819679027605244,0.5805236476633425,0.013513513513513514,0.047242427001283865,0.018523806116051828,0.8364069319445395,0.03380637704308402,0.16894977168949774,0.8782466698306536,0.16717902466923273,0.2517023576719405,0.6712328767123288,5,0.3150684931506849,1,1,6.2572129249417365,7.916969003995622,4.710109340157571,0.225,2,0.08695652173913043,33,4.359008054725048,0.0438252033150944
old,dH,100003,273,picked,102,0.3507,2.47,0.0588,0.0034383263245340106,0.0043010474783085895,1.2509131107244458,0.0016315212857823907,0.0017318338720303799,0.4938089596129109,0.0,0.026353316080105375,0.009867359933244932,0.8239697501972018,0.03260686174962495,0.14026402640264027,0.858749246211117,0.10337285210494124,0.13025448046908414,0.2079207920792079,2,0.009900990099009901,1,1,5.083581822636916,6.268108627666058,4.205386274265094,0.0967741935483871,1,0.041237113402061855,33,3.765774682140301,0.03251508888455031
old,dH,100004,281,picked,119,0.4618,2.384,0.0331,0.00388107502900492,0.00508989089883557,1.3114641847417678,0.0019316745522673742,0.001982744069345291,0.5022888310685952,0.3697478991596639,0.035318626179202506,0.013283452148442284,0.804041608113223,0.05765918564148468,0.13700564971751414,0.9645942017927464,0.12387206772712775,0.09999362506445196,0.13559322033898305,3,0.025423728813559324,3,2,4.610263435503392,4.280252529400299,0.8312413919411104,0.0,0,0.21052631578947367,32,3.2577544017029565,0.052128221619506025
old,dH,100005,298,picked,126,0.3668,3.457,0.0729,0.00291094226614637,0.003123886232776089,1.0731529337102323,0.0010061463567555568,0.0011637460939658752,0.39343752951182964,0.0,0.02260898051733762,0.009611866296097988,0.8371089578981304,0.05937335126220078,0.1426666666666667,0.8036545218181271,0.1568713938994777,0.1591273903953346,0.256,4,0.048,1,1,6.495950950303129,6.901979308768814,5.2373735800867145,0.06818181818181818,1,0.04132231404958678,25,3.1811653457807987,0.033606790830773156
old,dH,100006,308,picked,89,0.5332,7.174,0.0863,0.005991483759127449,0.005722486070100128,0.9551033266813869,0.0029009346913034277,0.003468640513881757,0.5659188395322481,0.11235955056179775,0.04090833763823451,0.01609147557230467,0.8485424235906707,0.031365054420105884,0.12878787878787878,0.9141862019428583,0.15787629476200776,0.28089192587468964,0.3977272727272727,4,0.056818181818181816,1,1,4.686838138018868,8.509119562003626,4.506197626970985,0.18181818181818182,1,0.09523809523809523,35,4.373997479095021,0.04565116314304566
old,dH,100007,320,picked,197,0.5316,3.663,0.054,0.002698359765059907,0.003757443517645242,1.392491678203563,0.001600756625026575,0.0019273935989528395,0.7070317961123982,0.10152284263959391,0.0206605468993416,0.010486667589808239,0.7500226974262006,0.06937713154341839,0.13435374149659862,0.968871318694794,0.06952558223366133,0.1783513732036165,0.17857142857142858,6,0.04591836734693878,1,1,7.786985679155192,6.454971251451446,4.51657428544043,0.14705882352941177,2,0.22916666666666666,43,3.2804427897440767,0.034878562644051724
old,dH,100008,333,picked,140,0.4456,2.211,0.0696,0.003182735329251119,0.004024539543630064,1.2644908003007016,0.0010857480506630659,0.0012570400763996991,0.3893136666548111,0.07857142857142857,0.02495125092745484,0.007883628315814798,0.8908459083095335,0.025348452122272404,0.0947242206235012,0.9372073370589359,0.09822062268143632,0.14529864304806117,0.19424460431654678,4,0.03597122302158273,1,1,8.114565489230795,6.603413592345894,4.982540935693282,0.08,1,0.02962962962962963,29,3.354325174938472,0.055257384273893456
old,dH,101000,233,picked,66,0.3401,3.028,0.0524,0.005153365544642704,0.004366310390416906,0.8472735637696032,0.003157047163659423,0.0037944894532615263,0.7140003736393054,0.015151515151515152,0.03879475082671967,0.025233633101525463,0.601097435681769,0.12124123119315604,0.27179487179487183,0.9330440873418637,0.16831833874863206,0.13786149759912758,0.3384615384615385,2,0.03076923076923077,1,1,9.56386809596,4.969554159148487,3.7717540138520933,0.22857142857142856,2,0.08196721311475409,28,4.109095869524836,0.031445788621840574
