world,arm,uid,ic_uid,stage,n_rows,sim_steps,path_len,net_disp,wander,idle_frac,idle_frac_7col,leading_idle,trailing_idle,idle_rows,strict_stop_frac,mean_speed,reward_sum,max_sim_steps
w3,pruned,105007,320,picked,195,778,0.5732,0.1548,0.0599,0.4205,0.0,0,0,82,0.5487,0.00294,1.0,1200
w3,pruned,106000,242,picked,58,229,0.478,0.1709,0.0606,0.1724,0.0,0,0,10,0.1897,0.00824,1.0,1200
w3,pruned,106001,251,picked,133,531,0.3695,0.1629,0.0642,0.0301,0.0,0,0,4,0.6541,0.00278,1.0,1200
w3,pruned,106003,274,picked,122,485,0.556,0.1196,0.0432,0.041,0.0,0,0,5,0.3525,0.00456,1.0,1200
w3,pruned,106004,283,picked,100,399,0.3579,0.1506,0.0578,0.04,0.0,0,0,4,0.34,0.00358,1.0,1200
w3,pruned,106005,299,picked,198,791,1.1661,0.2207,0.0752,0.1212,0.0,0,0,24,0.3131,0.00589,1.0,1200
w3,pruned,106006,309,picked,97,386,0.5235,0.0452,0.0902,0.2577,0.0,0,0,25,0.2887,0.0054,1.0,1200
w3,pruned,106007,321,picked,103,409,0.3741,0.1156,0.061,0.3107,0.0,0,0,32,0.4175,0.00363,1.0,1200
w3,pruned,106008,333,picked,123,492,0.4353,0.2076,0.0664,0.5447,0.0,0,0,67,0.6098,0.00354,1.0,1200
w3,pruned,107000,243,picked,44,174,0.3027,0.1063,0.0586,0.2045,0.0,0,0,9,0.3182,0.00688,1.0,1200
w3,pruned,107001,252,picked,164,653,0.4262,0.1081,0.0833,0.5305,0.0,0,0,87,0.5366,0.0026,1.0,1200
w3,pruned,107002,262,picked,58,232,0.3339,0.1298,0.0493,0.0345,0.0,0,0,2,0.3966,0.00576,1.0,1200
w3,pruned,107003,275,picked,104,416,0.5244,0.2014,0.0514,0.0096,0.0,0,0,1,0.2596,0.00504,1.0,1200
w3,pruned,107004,284,picked,82,327,0.2519,0.0804,0.0668,0.3537,0.0,0,0,29,0.4146,0.00307,1.0,1200
w3,pruned,107006,311,picked,99,393,0.6681,0.1967,0.057,0.0101,0.0,0,0,1,0.1717,0.00675,1.0,1200
w3,pruned,107007,325,picked,114,454,0.4714,0.1677,0.0656,0.4474,0.0,0,0,51,0.4649,0.00414,1.0,1200
w3,pruned,107008,335,picked,73,291,0.4024,0.1859,0.0551,0.0137,0.0,0,0,1,0.1644,0.00551,1.0,1200
