metric,dH_old,dDP_old,z_old,dH_w3,dDP_w3,z_w3,criterion_z
cond_doct_entropy,2.292345651151297,2.715916890912863,-4.811365510265051,2.1000699441730117,2.6411174703594913,-5.8998866815547455,-1.0885211712896945
cov_q_dq,2782,2444,1.8773745309051357,2963,3023,-0.2762789407454188,-2.1536534716505544
cov_eef,563,403,4.409539149146205,649,552,2.1166758638336822,-2.292863285312523
cov_eef_trans,2845,2651,1.0406215409815593,3174,3466,-1.2693571121098788,-2.309978653091438
cond_act_var,0.038555195255123714,0.0222741799973692,5.246771083416949,0.03726487382577739,0.029271563402201026,1.9416851400765132,-3.3050859433404356
