kind,condition,arm,seed,phase,value,run_complete,n_cells
training_record_last20pct,r2dreamer_cluster,machine,13,home,0.8334220329962746,True,
training_record_last20pct,r2dreamer_cluster,machine,14,home,0.9046951646811493,True,
training_record_last20pct,r2dreamer_cluster,machine,15,home,0.87595850248083,True,
training_record_last20pct,r2dreamer_cluster,planner72,0,home,0.8763604701784937,True,
training_record_last20pct,r2dreamer_cluster,planner72,1,home,0.8804653028479743,True,
training_record_last20pct,r2dreamer_cluster,planner72,2,home,0.8350240256273358,True,
training_record_last20pct,r2dreamer_cluster,planner72,3,home,0.8544142614601019,True,
training_record_last20pct,r2dreamer_cluster,planner72,4,home,0.8728049359278596,True,
training_record_last20pct,r2dreamer_cluster,planner72,5,home,0.7782883400344629,True,
training_record_last20pct,r2dreamer_cluster,planner72,6,home,0.8803255146002872,True,
training_record_last20pct,r2dreamer_cluster,planner72,7,home,0.8229407236335643,False,
training_record_last20pct,r2dreamer_cluster,r2teacher,0,home,0.8965364120781527,False,
training_record_last20pct,r2dreamer_cluster,r2teacher,1,home,0.8395390070921985,False,
training_record_last20pct,r2dreamer_cluster,r2teacher,2,home,0.8971243418388012,True,
training_record_last20pct,r2dreamer_cluster,r2teacher,7,home,0.8761180679785331,True,
training_record_last20pct,dreamer_ramp_control,human,0,home,0.7813504823151125,True,
training_record_last20pct,dreamer_ramp_control,machine,0,home,0.5295508274231678,True,
eval_rnd30_mode_ge0.5M,dreamer_local,human,0,home,0.4066666666666666,,5
eval_rnd30_mode_ge0.5M,dreamer_local,human,0,picked,0.6333333333333333,,5
eval_rnd30_mode_ge0.5M,dreamer_local,human,1,home,0.34,,5
eval_rnd30_mode_ge0.5M,dreamer_local,human,1,picked,0.6666666666666665,,5
eval_rnd30_mode_ge0.5M,dreamer_local,human,2,home,0.4666666666666667,,5
eval_rnd30_mode_ge0.5M,dreamer_local,human,2,picked,0.72,,5
eval_rnd30_mode_ge0.5M,dreamer_local,human,3,home,0.2388888888888889,,6
eval_rnd30_mode_ge0.5M,dreamer_local,human,3,picked,0.6833333333333332,,6
eval_rnd30_mode_ge0.5M,dreamer_local,machine,0,home,0.08666666666666667,,5
eval_rnd30_mode_ge0.5M,dreamer_local,machine,0,picked,0.6933333333333334,,5
eval_rnd30_mode_ge0.5M,dreamer_local,machine,1,home,0.49333333333333335,,5
eval_rnd30_mode_ge0.5M,dreamer_local,machine,1,picked,0.6466666666666667,,5
eval_rnd30_mode_ge0.5M,dreamer_local,machine,2,home,0.39999999999999997,,5
eval_rnd30_mode_ge0.5M,dreamer_local,machine,2,picked,0.5733333333333333,,5
eval_rnd30_mode_ge0.5M,dreamer_local,machine,3,home,0.15,,6
eval_rnd30_mode_ge0.5M,dreamer_local,machine,3,picked,0.6277777777777778,,6
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,4,home,0.4,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,4,picked,0.6833333333333333,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,5,home,0.25,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,5,picked,0.6666666666666666,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,6,home,0.3833333333333333,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,6,picked,0.6833333333333333,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,7,home,0.2833333333333333,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,7,picked,0.6666666666666666,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,8,home,0.16666666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,8,picked,0.6416666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,9,home,0.27499999999999997,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,9,picked,0.7,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,10,home,0.19166666666666665,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,10,picked,0.7,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,11,home,0.30000000000000004,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,11,picked,0.5666666666666667,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,12,home,0.18333333333333335,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,12,picked,0.6499999999999999,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,13,home,0.33333333333333337,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,13,picked,0.5166666666666667,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,14,home,0.35833333333333334,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,14,picked,0.675,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,15,home,0.35833333333333334,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,human,15,picked,0.6416666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,4,home,0.4666666666666667,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,4,picked,0.7166666666666666,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,5,home,0.55,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,5,picked,0.6666666666666666,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,6,home,0.3,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,6,picked,0.6833333333333333,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,7,home,0.19999999999999998,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,7,picked,0.7166666666666666,,2
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,8,home,0.42500000000000004,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,8,picked,0.65,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,9,home,0.2583333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,9,picked,0.625,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,10,home,0.275,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,10,picked,0.4833333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,11,home,0.2583333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,11,picked,0.6249999999999999,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,12,home,0.275,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,12,picked,0.5499999999999999,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,13,home,0.525,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,13,picked,0.6583333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,14,home,0.175,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,14,picked,0.6333333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,15,home,0.44999999999999996,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,machine,15,picked,0.6416666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,0,home,0.016666666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,0,picked,0.39166666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,1,home,0.0,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,1,picked,0.35833333333333334,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,2,home,0.13333333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,2,picked,0.5416666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,3,home,0.0,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,3,picked,0.15833333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,4,home,0.008333333333333333,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,4,picked,0.425,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,5,home,0.0,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,5,picked,0.24166666666666667,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,6,home,0.0,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,6,picked,0.09166666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,7,home,0.0,,1
eval_rnd30_mode_ge0.5M,dreamer_cluster,planner72,7,picked,0.0,,1
eval_rnd30_mode_ge0.5M,dreamer_cluster,r2teacher,0,home,0.4,,1
eval_rnd30_mode_ge0.5M,dreamer_cluster,r2teacher,0,picked,0.5333333333333333,,1
eval_rnd30_mode_ge0.5M,dreamer_cluster,r2teacher,1,home,0.4,,1
eval_rnd30_mode_ge0.5M,dreamer_cluster,r2teacher,1,picked,0.5,,1
eval_rnd30_mode_ge0.5M,dreamer_cluster,r2teacher,6,home,0.5416666666666666,,4
eval_rnd30_mode_ge0.5M,dreamer_cluster,r2teacher,6,picked,0.6333333333333333,,4
eval_rnd30_mode_ge0.5M,r2dreamer_cluster,human,0,home,0.6166666666666667,,2
