learner,dataset,seed,in_design,run,training_record,home,picked,cells,excluded_reason
{r2dreamer},human,5,True,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s5,True,0.5166666666666666,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s5/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s5/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},human,6,True,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s6,True,0.6666666666666666,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s6/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s6/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},human,7,True,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7,True,0.5833333333333333,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},human,8,True,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8,True,0.6499999999999999,0.7166666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},human,9,True,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9,True,0.6333333333333333,0.75,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},human,10,True,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10,True,0.6166666666666667,0.75,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10/online_2000000/rnd30_mode/metrics.json,
{r2dreamer},human,11,False,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s11,True,0.5833333333333333,0.7333333333333334,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s11/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s11/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},human,12,False,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s12,True,0.5333333333333333,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s12/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s12/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},human,13,False,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s13,True,0.6333333333333333,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s13/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s13/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
{r2dreamer},human,14,False,full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s14,True,0.5333333333333333,0.6833333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s14/online_1500000/rnd30_mode/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s14/online_2000000/rnd30_mode/metrics.json,outside the n=8 design
