condition,arm,seed,run,threshold,phase,reference,rise_step_reference,budget,achieved,complete,note,rise_step_phase,lag_steps,status
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,home,picked,154166,1000000,992440,True,,504786,350620,crossed
dreamer_local,machine,2,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s2,0.5,tipped,picked,154166,1000000,992440,True,,203290,49124,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,placed_v2,picked,200193,1000000,998215,True,,316572,116379,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,farside,picked,200193,1000000,998215,True,,316755,116562,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,slide_event,picked,200193,1000000,998215,True,,325732,125539,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,home,picked,200193,1000000,998215,True,,325732,125539,crossed
dreamer_local,machine,3,dv3px_sparse10_dDPfull_first_rns10h_img_rlDreamer_s3,0.5,tipped,picked,200193,1000000,998215,True,,215768,15575,crossed
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,0.5,placed_v2,picked,166346,1000000,999688,True,,235723,69377,crossed
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,0.5,farside,picked,166346,1000000,999688,True,,235723,69377,crossed
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,0.5,slide_event,picked,166346,1000000,999688,True,,468533,302187,crossed
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,0.5,home,picked,166346,1000000,999688,True,,507279,340933,crossed
dreamer_cluster,human,4,full_r2d_state_dHfull_all_rns10h_img_dreamer_s4,0.5,tipped,picked,166346,1000000,999688,True,,161943,-4403,crossed
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,0.5,placed_v2,picked,219040,1000000,992699,True,,340216,121176,crossed
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,0.5,farside,picked,219040,1000000,992699,True,,340589,121549,crossed
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,0.5,slide_event,picked,219040,1000000,992699,True,,517829,298789,crossed
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,0.5,home,picked,219040,1000000,992699,True,,518618,299578,crossed
dreamer_cluster,human,5,full_r2d_state_dHfull_all_rns10h_img_dreamer_s5,0.5,tipped,picked,219040,1000000,992699,True,,221947,2907,crossed
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,0.5,placed_v2,picked,187619,1000000,999507,True,,241259,53640,crossed
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,0.5,farside,picked,187619,1000000,999507,True,,241259,53640,crossed
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,0.5,slide_event,picked,187619,1000000,999507,True,,249327,61708,crossed
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,0.5,home,picked,187619,1000000,999507,True,,257484,69865,crossed
dreamer_cluster,human,6,full_r2d_state_dHfull_all_rns10h_img_dreamer_s6,0.5,tipped,picked,187619,1000000,999507,True,,143623,-43996,crossed
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,0.5,placed_v2,picked,180010,1000000,992379,True,,242496,62486,crossed
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,0.5,farside,picked,180010,1000000,992379,True,,243977,63967,crossed
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,0.5,slide_event,picked,180010,1000000,992379,True,,292013,112003,crossed
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,0.5,home,picked,180010,1000000,992379,True,,292013,112003,crossed
dreamer_cluster,human,7,full_r2d_state_dHfull_all_rns10h_img_dreamer_s7,0.5,tipped,picked,180010,1000000,992379,True,,178723,-1287,crossed
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,0.5,placed_v2,picked,181177,2000000,1992758,True,,235804,54627,crossed
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,0.5,farside,picked,181177,2000000,1992758,True,,239066,57889,crossed
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,0.5,slide_event,picked,181177,2000000,1992758,True,,513921,332744,crossed
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,0.5,home,picked,181177,2000000,1992758,True,,514136,332959,crossed
dreamer_cluster,human,8,full_r2d_state_dHfull_all_rns10h_img_dreamer_s8,0.5,tipped,picked,181177,2000000,1992758,True,,176184,-4993,crossed
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,0.5,placed_v2,picked,201081,2000000,1999907,True,,291159,90078,crossed
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,0.5,farside,picked,201081,2000000,1999907,True,,291748,90667,crossed
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,0.5,slide_event,picked,201081,2000000,1999907,True,,312855,111774,crossed
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,0.5,home,picked,201081,2000000,1999907,True,,428681,227600,crossed
dreamer_cluster,human,9,full_r2d_state_dHfull_all_rns10h_img_dreamer_s9,0.5,tipped,picked,201081,2000000,1999907,True,,150565,-50516,crossed
dreamer_cluster,human,10,full_r2d_state_dHfull_all_rns10h_img_dreamer_s10,0.5,placed_v2,picked,234973,2000000,1999790,True,,318112,83139,crossed
