learner,dataset,seed,in_design,home,picked,cells,excluded_reason
{RLPD},planner72,4,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/rlpd/e2e_rlpd_px_dPlanner72_s4/fresh_eval_rnd30_sample/metrics.json,
{RLPD},planner72,5,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/rlpd/e2e_rlpd_px_dPlanner72_s5/fresh_eval_rnd30_sample/metrics.json,
{RLPD},planner72,6,True,0.0,0.03333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/rlpd/e2e_rlpd_px_dPlanner72_s6/fresh_eval_rnd30_sample/metrics.json,
{RLPD},planner72,7,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/rlpd/e2e_rlpd_px_dPlanner72_s7/fresh_eval_rnd30_sample/metrics.json,
{RLPD},r2teacher,0,True,,,,no sampled cell yet
{RLPD},r2teacher,1,True,,,,no sampled cell yet
{RLPD},r2teacher,2,True,,,,no sampled cell yet
{RLPD},r2teacher,3,True,,,,no sampled cell yet
{RLPD},r2teacher,4,True,,,,no sampled cell yet
{RLPD},r2teacher,5,True,0.0,0.0,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/runs/rlpd/e2e_rlpd_px_dR2fromH_px_s5/fresh_eval_rnd30_sample/metrics.json,
{RLPD},r2teacher,6,True,,,,no sampled cell yet
{RLPD},r2teacher,7,True,,,,no sampled cell yet
{Diffusion Policy},human,0,True,0.0,0.36666666666666664,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dH_s0/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},human,1,True,0.0,0.36666666666666664,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dH_s1/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},human,2,True,0.06666666666666667,0.26666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dH_s2/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},human,3,True,0.03333333333333333,0.36666666666666664,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dH_s3/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},human,4,True,,,,no sampled cell yet
{Diffusion Policy},human,5,True,,,,no sampled cell yet
{Diffusion Policy},human,6,True,,,,no sampled cell yet
{Diffusion Policy},human,7,True,,,,no sampled cell yet
{Diffusion Policy},machine,0,True,0.0,0.2,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dM_s0/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},machine,1,True,0.06666666666666667,0.3333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dM_s1/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},machine,2,True,0.0,0.3333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dM_s2/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},machine,3,True,0.0,0.36666666666666664,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/LAB/gp_ah/dp_px/ah_dp_px_dM_s3/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},machine,4,True,,,,no sampled cell yet
{Diffusion Policy},machine,5,True,,,,no sampled cell yet
{Diffusion Policy},machine,6,True,,,,no sampled cell yet
{Diffusion Policy},machine,7,True,,,,no sampled cell yet
{Diffusion Policy},planner72,0,True,,,,no sampled cell yet
{Diffusion Policy},planner72,1,True,,,,no sampled cell yet
{Diffusion Policy},planner72,2,True,,,,no sampled cell yet
{Diffusion Policy},planner72,3,True,,,,no sampled cell yet
{Diffusion Policy},planner72,4,True,,,,no sampled cell yet
{Diffusion Policy},planner72,5,True,0.5666666666666667,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/dp/planner72_dp_px_dPlanner72_s5/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},planner72,6,True,0.5666666666666667,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/dp/planner72_dp_px_dPlanner72_s6/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},planner72,7,True,0.5666666666666667,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/P72/runs/dp/planner72_dp_px_dPlanner72_s7/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},r2teacher,0,True,0.6,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/runs/dp/r2teacher_dp_px_dR2fromH_px_s0/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},r2teacher,1,True,0.6,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/runs/dp/r2teacher_dp_px_dR2fromH_px_s1/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},r2teacher,2,True,0.6,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/runs/dp/r2teacher_dp_px_dR2fromH_px_s2/fresh_eval_rnd30_sample/metrics.json,
{Diffusion Policy},r2teacher,3,True,,,,no sampled cell yet
{Diffusion Policy},r2teacher,4,True,,,,no sampled cell yet
{Diffusion Policy},r2teacher,5,True,,,,no sampled cell yet
{Diffusion Policy},r2teacher,6,True,,,,no sampled cell yet
{Diffusion Policy},r2teacher,7,True,,,,no sampled cell yet
