step,picked,placed_v2,nested_v2,slide_success,tipped
51944,0,0,0,0,1
52058,0,0,0,0,1
52151,1,0,0,0,1
52177,0,0,0,0,1
52477,0,0,0,0,0
52777,0,0,0,0,0
52778,0,0,0,0,1
53078,0,0,0,0,0
53079,0,0,0,0,1
53178,1,0,0,0,1
53243,1,0,0,0,1
53543,0,0,0,0,0
53544,0,0,0,0,1
53844,0,0,0,0,0
53944,1,0,0,0,1
53989,0,0,0,0,1
54188,1,0,0,0,1
54320,1,0,0,0,1
54443,1,0,0,0,1
54444,0,0,0,0,1
54480,0,0,0,0,1
54780,0,0,0,0,0
54898,1,0,0,0,1
55118,0,0,0,0,1
55418,0,0,0,0,0
55462,1,0,0,0,1
55762,0,0,0,0,0
55793,1,0,0,0,1
56026,1,0,0,0,1
56116,1,0,0,0,1
56287,1,0,0,0,1
56435,1,0,0,0,1
56605,1,0,0,0,1
56690,0,0,0,0,1
56691,0,0,0,0,1
56816,1,0,0,0,1
57078,1,0,0,0,1
57108,1,0,0,0,1
57153,0,0,0,0,1
57295,1,0,0,0,1
57386,1,0,0,0,1
57686,0,0,0,0,0
57986,0,0,0,0,0
58089,0,0,0,0,1
58129,0,0,0,0,1
58148,0,0,0,0,1
58261,1,0,0,0,1
58561,0,0,0,0,0
58861,0,0,0,0,0
59161,0,0,0,0,0
59461,0,0,0,0,0
59761,0,0,0,0,0
60061,0,0,0,0,0
60361,0,0,0,0,0
60661,0,0,0,0,0
60688,1,0,0,0,1
60988,0,0,0,0,0
61014,1,0,0,0,1
61314,0,0,0,0,0
61614,0,0,0,0,0
61914,0,0,0,0,0
62214,0,0,0,0,0
62320,1,0,0,0,1
62620,0,0,0,0,0
62749,0,0,0,0,1
62760,0,0,0,0,1
63060,0,0,0,0,0
63360,0,0,0,0,0
63660,0,0,0,0,0
63960,0,0,0,0,0
64260,0,0,0,0,0
64560,0,0,0,0,0
64767,0,0,0,0,1
65067,0,0,0,0,0
65367,0,0,0,0,0
65667,0,0,0,0,0
65703,0,0,0,0,1
65772,0,0,0,0,1
65958,1,0,0,0,1
66020,0,0,0,0,1
66320,0,0,0,0,0
66620,0,0,0,0,0
66621,0,0,0,0,1
66921,0,0,0,0,0
67221,0,0,0,0,0
67236,0,0,0,0,1
67536,0,0,0,0,0
67836,0,0,0,0,0
68136,0,0,0,0,0
68436,0,0,0,0,0
68736,0,0,0,0,0
68780,1,0,0,0,1
69080,0,0,0,0,0
69380,0,0,0,0,0
69389,0,0,0,0,1
69404,0,0,0,0,1
69431,0,0,0,0,1
69465,0,0,0,0,1
69765,0,0,0,0,0
69797,0,0,0,0,1
69867,0,0,0,0,1
70167,0,0,0,0,0
70182,0,0,0,0,1
70201,0,0,0,0,1
70501,0,0,0,0,0
70523,0,0,0,0,1
70614,1,0,0,0,1
70634,0,0,0,0,1
70803,1,0,0,0,1
70818,0,0,0,0,1
70856,0,0,0,0,1
70873,0,0,0,0,1
70948,0,0,0,0,1
70971,0,0,0,0,1
71271,0,0,0,0,0
71362,1,0,0,0,1
71662,0,0,0,0,0
71962,1,1,0,0,0
71993,0,0,0,0,1
72024,0,0,0,0,1
72324,1,1,0,0,0
72422,1,0,0,0,1
72637,1,1,0,0,1
72937,0,0,0,0,0
73237,1,1,0,0,0
73399,1,0,0,0,1
73511,1,0,0,0,1
73811,0,0,0,0,0
73936,1,0,0,0,1
73962,0,0,0,0,1
74262,0,0,0,0,0
74329,1,0,0,0,1
74351,0,0,0,0,1
74386,0,0,0,0,1
74415,0,0,0,0,1
74715,0,0,0,0,0
74784,0,0,0,0,1
74902,1,0,0,0,1
74968,0,0,0,0,1
74969,0,0,0,0,1
75112,0,0,0,0,1
75412,0,0,0,0,0
75712,0,0,0,0,0
76012,0,0,0,0,0
76312,0,0,0,0,0
76612,1,0,0,0,0
76626,0,0,0,0,1
76647,0,0,0,0,1
76947,0,0,0,0,0
77092,1,0,0,0,1
77111,0,0,0,0,1
77166,0,0,0,0,1
77335,1,1,0,0,1
77366,0,0,0,0,1
77417,1,0,0,0,1
77449,0,0,0,0,1
77491,1,0,0,0,1
77528,0,0,0,0,1
77580,0,0,0,0,1
77880,1,1,0,0,0
78180,0,0,0,0,0
78192,0,0,0,0,1
78200,0,0,0,0,1
78500,0,0,0,0,0
78551,0,0,0,0,1
78615,0,0,0,0,1
78665,0,0,0,0,1
78713,0,0,0,0,1
79013,0,0,0,0,0
79313,0,0,0,0,0
79613,1,1,0,0,0
79703,1,0,0,0,1
79950,0,0,0,0,1
80250,1,0,0,0,0
80550,0,0,0,0,0
80850,1,0,0,0,0
80981,1,0,0,0,1
80982,0,0,0,0,1
81010,0,0,0,0,1
81310,0,0,0,0,0
81334,0,0,0,0,1
81358,0,0,0,0,1
81658,1,0,0,0,0
81958,1,0,0,0,0
82144,1,0,0,0,1
82444,0,0,0,0,0
82580,1,0,0,0,1
82614,0,0,0,0,1
82914,0,0,0,0,0
82935,0,0,0,0,1
83161,1,0,0,0,1
83461,0,0,0,0,0
83525,0,0,0,0,1
83825,0,0,0,0,0
84125,0,0,0,0,0
84425,1,1,0,0,0
84454,0,0,0,0,1
84586,1,0,0,0,1
84596,0,0,0,0,1
84896,0,0,0,0,0
84909,0,0,0,0,1
84931,0,0,0,0,1
85231,0,0,0,0,0
85531,0,0,0,0,0
85623,1,0,0,0,1
85646,0,0,0,0,1
85703,0,0,0,0,1
85737,0,0,0,0,1
85934,0,0,0,0,1
86234,0,0,0,0,0
86534,1,0,0,0,0
86678,1,0,0,0,1
86701,0,0,0,0,1
86831,1,0,0,0,1
86955,1,0,0,0,1
86989,0,0,0,0,1
87085,1,0,0,0,1
87262,1,0,0,0,1
87289,0,0,0,0,1
87361,1,0,0,0,1
87385,0,0,0,0,1
87596,0,0,0,0,1
87809,0,0,0,0,1
87925,1,0,0,0,1
88225,0,0,0,0,0
88525,0,0,0,0,0
88825,1,1,0,0,0
89125,0,0,0,0,0
89425,1,1,0,0,0
89725,1,1,0,0,0
89776,1,0,0,0,1
89895,1,0,0,0,1
89932,0,0,0,0,1
90232,1,0,0,0,0
90532,1,0,0,0,0
90832,0,0,0,0,0
91132,1,1,0,0,0
91267,1,0,0,0,1
91298,0,0,0,0,1
91330,0,0,0,0,1
91351,0,0,0,0,1
91435,1,0,0,0,1
91545,0,0,0,0,1
91572,0,0,0,0,1
91646,1,0,0,0,1
91946,1,0,0,0,0
91985,0,0,0,0,1
92010,0,0,0,0,1
92065,0,0,0,0,1
92365,0,0,0,0,0
92397,0,0,0,0,1
92588,0,0,0,0,1
92778,1,0,0,0,1
92791,0,0,0,0,1
93091,0,0,0,0,0
93131,1,0,0,0,1
93227,0,0,0,0,1
93527,0,0,0,0,0
93666,1,0,0,0,1
93690,1,0,0,0,1
93877,1,0,0,0,1
94105,1,0,0,0,1
94184,1,0,0,0,1
94206,0,0,0,0,1
94399,1,0,0,0,1
94567,1,0,0,0,1
94676,1,0,0,0,1
94976,1,0,0,0,0
95162,0,0,0,0,1
95199,0,0,0,0,1
95243,1,0,0,0,1
95393,1,0,0,0,1
95416,0,0,0,0,1
95556,1,0,0,0,1
95624,0,0,0,0,1
95924,0,0,0,0,0
96224,0,0,0,0,0
96253,0,0,0,0,1
96450,1,0,0,0,1
96580,1,0,0,0,1
96737,1,0,0,0,1
96908,1,0,0,0,1
97114,1,0,0,0,1
97180,0,0,0,0,1
97210,1,0,0,0,1
97510,1,1,0,0,0
97524,0,0,0,0,1
97824,1,0,0,0,0
98124,0,0,0,0,0
98318,1,0,0,0,1
98618,0,0,0,0,0
98918,1,0,0,0,0
98947,0,0,0,0,1
98982,0,0,0,0,1
99143,1,0,0,0,1
99176,0,0,0,0,1
99222,1,0,0,0,1
99522,1,1,0,0,0
99822,1,0,0,0,0
