step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
7200,0,0,0,0,0,0,0
7201,0,0,0,0,0,0,0
7202,0,0,0,0,0,0,0
7203,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0
7205,0,0,0,0,0,0,0
7227,0,0,0,0,0,0,1
14396,0,0,0,0,0,0,0
14397,0,0,0,0,0,0,0
14398,0,0,0,0,0,0,0
14400,0,0,0,0,0,0,0
14401,0,0,0,0,0,0,0
14427,0,0,0,0,0,0,0
21596,0,0,0,0,0,0,0
21597,0,0,0,0,0,0,0
21598,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0
21601,0,0,0,0,0,0,0
21627,0,0,0,0,0,0,0
27933,0,0,0,0,0,0,1
27977,0,0,0,0,0,0,1
28788,0,0,0,0,0,0,0
28790,0,0,0,0,0,0,0
28792,0,0,0,0,0,0,0
28793,0,0,0,0,0,0,0
28823,0,0,0,0,0,0,0
35177,0,0,0,0,0,0,0
35988,0,0,0,0,0,0,0
35990,0,0,0,0,0,0,0
35992,0,0,0,0,0,0,0
35993,0,0,0,0,0,0,0
36023,0,0,0,0,0,0,0
36858,0,0,0,0,0,0,1
42373,0,0,0,0,0,0,0
43184,0,0,0,0,0,0,0
43188,0,0,0,0,0,0,0
43189,0,0,0,0,0,0,0
43223,0,0,0,0,0,0,0
44058,0,0,0,0,0,0,0
44125,0,0,0,0,0,0,1
49857,1,0,0,0,0,0,1
50380,0,0,0,0,0,0,0
50384,0,0,0,0,0,0,0
50385,0,0,0,0,0,0,0
50419,0,0,0,0,0,0,0
51254,0,0,0,0,0,0,0
57057,0,0,0,0,0,0,0
57580,0,0,0,0,0,0,0
57584,0,0,0,0,0,0,0
57585,0,0,0,0,0,0,0
57619,0,0,0,0,0,0,0
58169,0,0,0,0,0,0,1
58450,0,0,0,0,0,0,0
64253,0,0,0,0,0,0,0
64776,0,0,0,0,0,0,0
64780,0,0,0,0,0,0,0
64819,0,0,0,0,0,0,0
65369,0,0,0,0,0,0,0
65650,0,0,0,0,0,0,0
71335,0,0,0,0,0,0,1
71336,0,0,0,0,0,0,1
71445,0,0,0,0,0,0,0
71968,0,0,0,0,0,0,0
72569,0,0,0,0,0,0,0
72850,0,0,0,0,0,0,0
73181,0,0,0,0,0,0,1
78531,0,0,0,0,0,0,0
78532,0,0,0,0,0,0,0
79168,0,0,0,0,0,0,0
79769,0,0,0,0,0,0,0
80050,0,0,0,0,0,0,0
80381,0,0,0,0,0,0,0
84437,0,0,0,0,0,0,1
85727,0,0,0,0,0,0,0
85728,0,0,0,0,0,0,0
86364,0,0,0,0,0,0,0
87250,0,0,0,0,0,0,0
87581,0,0,0,0,0,0,0
87796,0,0,0,0,0,0,1
91633,0,0,0,0,0,0,0
92923,0,0,0,0,0,0,0
93564,0,0,0,0,0,0,0
94450,0,0,0,0,0,0,0
94781,0,0,0,0,0,0,0
94996,0,0,0,0,0,0,0
98833,0,0,0,0,0,0,0
100123,0,0,0,0,0,0,0
100764,0,0,0,0,0,0,0
101650,0,0,0,0,0,0,0
101981,0,0,0,0,0,0,0
102196,0,0,0,0,0,0,0
106033,0,0,0,0,0,0,0
107323,0,0,0,0,0,0,0
107964,0,0,0,0,0,0,0
108008,0,0,0,0,0,0,1
108846,0,0,0,0,0,0,0
109177,0,0,0,0,0,0,0
109392,0,0,0,0,0,0,0
113229,0,0,0,0,0,0,0
114519,0,0,0,0,0,0,0
115208,0,0,0,0,0,0,0
116046,0,0,0,0,0,0,0
116377,0,0,0,0,0,0,0
116592,0,0,0,0,0,0,0
120429,0,0,0,0,0,0,0
121719,0,0,0,0,0,0,0
122149,0,0,0,0,0,0,1
122404,0,0,0,0,0,0,0
123242,0,0,0,0,0,0,0
123573,0,0,0,0,0,0,0
123788,0,0,0,0,0,0,0
128919,0,0,0,0,0,0,0
129349,0,0,0,0,0,0,0
129604,0,0,0,0,0,0,0
130442,0,0,0,0,0,0,0
130773,0,0,0,0,0,0,0
130988,0,0,0,0,0,0,0
136119,0,0,0,0,0,0,0
136549,0,0,0,0,0,0,0
136804,0,0,0,0,0,0,0
137642,0,0,0,0,0,0,0
137973,0,0,0,0,0,0,0
138188,0,0,0,0,0,0,0
138928,0,0,0,0,0,0,1
142645,1,0,0,0,0,0,1
143311,0,0,0,0,0,0,0
144000,0,0,0,0,0,0,0
144838,0,0,0,0,0,0,0
145169,0,0,0,0,0,0,0
145310,0,0,0,0,0,0,1
