step,picked,placed_v2,farside,slide_event,home,nested_v2,tipped
264,0,0,0,0,0,0,1
2660,0,0,0,0,0,0,1
3739,0,0,0,0,0,0,1
7189,0,0,0,0,0,0,0
7190,0,0,0,0,0,0,0
7192,0,0,0,0,0,0,0
7193,0,0,0,0,0,0,0
9860,0,0,0,0,0,0,0
10939,0,0,0,0,0,0,0
14389,0,0,0,0,0,0,0
14390,0,0,0,0,0,0,0
14392,0,0,0,0,0,0,0
14393,0,0,0,0,0,0,0
14566,0,0,0,0,0,0,1
17056,0,0,0,0,0,0,0
18135,0,0,0,0,0,0,0
21585,0,0,0,0,0,0,0
21588,0,0,0,0,0,0,0
21589,0,0,0,0,0,0,0
21766,0,0,0,0,0,0,0
24256,0,0,0,0,0,0,0
24756,0,0,0,0,0,0,1
25331,0,0,0,0,0,0,0
28781,0,0,0,0,0,0,0
28784,0,0,0,0,0,0,0
28785,0,0,0,0,0,0,0
28962,0,0,0,0,0,0,0
30809,0,0,0,0,0,0,1
31952,0,0,0,0,0,0,0
31996,0,0,0,0,0,0,1
32523,0,0,0,0,0,0,0
35039,0,0,0,0,0,0,1
35969,0,0,0,0,0,0,0
35972,0,0,0,0,0,0,0
36154,0,0,0,0,0,0,0
38001,0,0,0,0,0,0,0
39192,0,0,0,0,0,0,0
42239,0,0,0,0,0,0,0
43169,0,0,0,0,0,0,0
43172,0,0,0,0,0,0,0
43354,0,0,0,0,0,0,0
43493,0,0,0,0,0,0,1
45197,0,0,0,0,0,0,0
46388,0,0,0,0,0,0,0
48160,0,0,0,0,0,0,1
49431,0,0,0,0,0,0,0
50364,0,0,0,0,0,0,0
50550,0,0,0,0,0,0,0
50689,0,0,0,0,0,0,0
51408,1,0,0,0,0,0,1
51857,1,0,0,0,0,0,1
52385,0,0,0,0,0,0,0
52857,0,0,0,0,0,0,1
55348,0,0,0,0,0,0,0
56619,0,0,0,0,0,0,0
57430,1,0,0,0,0,0,1
58604,0,0,0,0,0,0,0
59585,0,0,0,0,0,0,0
60057,0,0,0,0,0,0,0
62548,0,0,0,0,0,0,0
62592,0,0,0,0,0,0,1
63815,0,0,0,0,0,0,0
64626,0,0,0,0,0,0,0
65800,0,0,0,0,0,0,0
66781,0,0,0,0,0,0,0
67253,0,0,0,0,0,0,0
