step,picked,placed_v2,nested_v2,slide_success,tipped
300,0,0,0,0,0
600,0,0,0,0,0
900,0,0,0,0,0
1200,0,0,0,0,0
1500,0,0,0,0,0
1501,0,0,0,0,1
1801,0,0,0,0,0
2101,0,0,0,0,0
2401,0,0,0,0,0
2701,0,0,0,0,0
3001,0,0,0,0,0
3301,0,0,0,0,0
3601,0,0,0,0,0
3901,0,0,0,0,0
4201,0,0,0,0,0
4501,0,0,0,0,0
4801,0,0,0,0,0
4832,0,0,0,0,1
5132,0,0,0,0,0
5432,0,0,0,0,0
5732,0,0,0,0,0
6032,0,0,0,0,0
6332,0,0,0,0,0
6632,0,0,0,0,0
6932,0,0,0,0,0
7232,0,0,0,0,0
7532,0,0,0,0,0
7692,0,0,0,0,1
7992,0,0,0,0,0
8292,0,0,0,0,0
8592,0,0,0,0,0
8892,0,0,0,0,0
9192,0,0,0,0,0
9492,0,0,0,0,0
9792,0,0,0,0,0
10092,0,0,0,0,0
10392,0,0,0,0,0
10692,0,0,0,0,0
10992,0,0,0,0,0
11292,0,0,0,0,0
11293,0,0,0,0,1
11593,0,0,0,0,0
11893,0,0,0,0,0
12193,0,0,0,0,0
12384,1,0,0,0,1
12684,0,0,0,0,0
12984,0,0,0,0,0
13284,0,0,0,0,0
13584,0,0,0,0,0
13884,0,0,0,0,0
14134,0,0,0,0,1
14135,0,0,0,0,1
14435,0,0,0,0,0
14735,0,0,0,0,0
15035,0,0,0,0,0
15335,0,0,0,0,0
15635,0,0,0,0,0
15935,0,0,0,0,0
16235,0,0,0,0,0
16535,0,0,0,0,0
16835,0,0,0,0,0
17135,0,0,0,0,0
17435,0,0,0,0,0
17512,1,0,0,0,1
17678,0,0,0,0,1
17724,1,0,0,0,1
17725,0,0,0,0,1
17795,1,0,0,0,1
18095,0,0,0,0,0
18161,1,0,0,0,1
18190,0,0,0,0,1
18217,1,0,0,0,1
18240,1,0,0,0,1
18540,0,0,0,0,0
18541,0,0,0,0,1
18594,1,0,0,0,1
18655,1,0,0,0,1
18693,1,0,0,0,1
18873,1,0,0,0,1
19173,0,0,0,0,0
19473,0,0,0,0,0
19773,0,0,0,0,0
20073,0,0,0,0,0
20373,0,0,0,0,0
20673,0,0,0,0,0
20973,0,0,0,0,0
21273,0,0,0,0,0
21308,1,0,0,0,1
21309,0,0,0,0,1
21336,0,0,0,0,1
21636,0,0,0,0,0
21936,0,0,0,0,0
21979,1,0,0,0,1
22279,0,0,0,0,0
22579,0,0,0,0,0
22585,0,0,0,0,1
22885,0,0,0,0,0
23185,0,0,0,0,0
23485,0,0,0,0,0
23501,0,0,0,0,1
23801,0,0,0,0,0
24101,0,0,0,0,0
24401,0,0,0,0,0
24466,1,0,0,0,1
24511,1,0,0,0,1
24588,1,0,0,0,1
24589,0,0,0,0,1
24889,0,0,0,0,0
25189,0,0,0,0,0
25253,1,0,0,0,1
25510,1,0,0,0,1
25559,1,0,0,0,1
25595,1,0,0,0,1
25623,0,0,0,0,1
25923,0,0,0,0,0
26223,0,0,0,0,0
26452,0,0,0,0,1
