step,picked,placed_v2,nested_v2,slide_success,tipped
50718,0,0,0,0,0
50833,1,0,0,0,1
50971,1,0,0,0,1
50984,0,0,0,0,1
51019,0,0,0,0,1
51049,1,0,0,0,1
51349,1,0,0,0,0
51649,0,0,0,0,0
51949,1,1,1,0,0
52249,0,0,0,0,0
52549,0,0,0,0,0
52807,1,1,0,0,1
52844,1,0,0,0,1
53144,0,0,0,0,0
53336,0,0,0,0,1
53512,1,0,0,0,1
53538,1,0,0,0,1
53838,1,0,0,0,0
54138,0,0,0,0,0
54438,0,0,0,0,0
54738,0,0,0,0,0
55038,0,0,0,0,0
55338,0,0,0,0,0
55406,1,0,0,0,1
55706,0,0,0,0,0
55850,1,0,0,0,1
56041,0,0,0,0,1
56341,1,1,0,0,0
56563,0,0,0,0,1
56863,1,1,0,0,0
57163,1,0,0,0,0
57321,1,0,0,0,1
57621,1,0,0,0,0
57670,1,0,0,0,1
57833,1,1,0,0,1
57960,1,1,0,0,1
58260,1,1,0,0,0
58560,0,0,0,0,0
58646,1,0,0,0,1
58782,1,0,0,0,1
59082,1,0,0,0,0
59191,1,0,0,0,1
59410,1,0,0,0,1
59486,0,0,0,0,1
59607,1,0,0,0,1
59661,1,0,0,0,1
59961,0,0,0,0,0
60261,0,0,0,0,0
60561,0,0,0,0,0
60861,0,0,0,0,0
61161,0,0,0,0,0
61461,0,0,0,0,0
61492,1,0,0,0,1
61594,1,1,1,1,0
61894,0,0,0,0,0
62194,1,1,0,0,0
62285,1,0,0,0,1
62410,1,1,1,1,0
62479,1,0,0,0,1
62734,0,0,0,0,1
63034,1,1,0,0,0
63334,1,0,0,0,0
63629,1,0,0,0,1
63929,1,1,0,0,0
64229,1,1,0,0,0
64513,1,1,0,0,1
64583,1,0,0,0,1
64627,1,0,0,0,1
64701,1,0,0,0,1
64744,1,0,0,0,1
64798,1,0,0,0,1
64836,1,0,0,0,1
65136,1,1,0,0,0
65308,1,1,0,0,1
65608,1,0,0,0,0
65908,1,0,0,0,0
66208,0,0,0,0,0
66508,1,1,0,0,0
66808,0,0,0,0,0
66985,0,0,0,0,1
67285,1,1,0,0,0
67585,1,1,0,0,0
67623,0,0,0,0,1
67923,1,1,1,0,0
67980,1,0,0,0,1
68031,1,0,0,0,1
68331,1,1,0,0,0
68631,1,1,0,0,0
68931,1,1,0,0,0
69073,1,0,0,0,1
69373,1,1,1,0,0
69673,0,0,0,0,0
69973,1,1,1,0,0
70273,1,1,0,0,0
70309,1,0,0,0,1
70609,1,1,0,0,0
70680,1,1,0,0,1
70980,1,1,0,0,0
70981,0,0,0,0,1
71281,1,1,0,0,0
71581,1,1,0,0,0
71881,1,1,0,0,0
72181,1,1,1,0,0
72234,1,0,0,0,1
72534,1,0,0,0,0
72552,0,0,0,0,1
72852,1,1,0,0,0
73152,1,1,0,0,0
73452,1,1,0,0,0
73486,1,0,0,0,1
73487,0,0,0,0,1
73622,1,0,0,0,1
73623,0,0,0,0,1
73923,1,1,0,0,0
73985,1,1,0,0,1
74285,1,1,1,0,0
74585,1,1,1,0,0
74885,0,0,0,0,0
75185,1,0,0,0,0
75219,1,0,0,0,1
75519,1,1,0,0,0
75819,1,1,0,0,0
76119,0,0,0,0,0
76152,0,0,0,0,1
76452,0,0,0,0,0
76752,1,0,0,0,0
77052,1,1,1,0,0
77352,1,0,0,0,0
77652,1,1,1,0,0
77952,1,0,0,0,0
78252,1,1,1,0,0
78552,1,1,1,0,0
78594,1,0,0,0,1
78646,1,0,0,0,1
78946,1,1,0,0,0
79246,1,0,0,0,0
79546,0,0,0,0,0
79846,0,0,0,0,0
80146,1,0,0,0,0
80176,0,0,0,0,1
80476,0,0,0,0,0
80776,0,0,0,0,0
81076,0,0,0,0,0
81376,0,0,0,0,0
81676,0,0,0,0,0
81976,0,0,0,0,0
82276,0,0,0,0,0
82338,1,0,0,0,1
82638,1,1,0,0,0
82701,1,0,0,0,1
83001,1,1,0,0,0
83301,1,1,0,0,0
83601,0,0,0,0,0
83620,1,0,0,0,1
83920,1,1,1,0,0
84220,1,0,0,0,0
84221,0,0,0,0,1
84521,1,0,0,0,0
84579,1,1,1,1,0
84879,1,1,0,0,0
85179,1,0,0,0,0
85221,1,0,0,0,1
85252,1,0,0,0,1
85552,1,1,0,0,0
85571,0,0,0,0,1
85753,1,0,0,0,1
86053,1,1,1,0,0
86054,0,0,0,0,1
86354,0,0,0,0,0
86654,0,0,0,0,0
86954,0,0,0,0,0
87254,0,0,0,0,0
87554,0,0,0,0,0
87854,0,0,0,0,0
88154,0,0,0,0,0
88454,1,0,0,0,0
88548,1,0,0,0,1
88737,1,1,1,1,0
88900,1,0,0,0,1
89200,0,0,0,0,0
89500,1,0,0,0,0
89797,1,0,0,0,1
90097,1,0,0,0,0
90397,1,0,0,0,0
90697,0,0,0,0,0
90997,0,0,0,0,0
91297,0,0,0,0,0
91597,0,0,0,0,0
91897,0,0,0,0,0
92197,0,0,0,0,0
92497,0,0,0,0,0
92797,0,0,0,0,0
92806,0,0,0,0,1
93106,0,0,0,0,0
93406,0,0,0,0,0
93706,0,0,0,0,0
93940,0,0,0,0,1
94240,0,0,0,0,0
94279,0,0,0,0,1
94579,0,0,0,0,0
94879,0,0,0,0,0
95179,0,0,0,0,0
95479,0,0,0,0,0
95779,0,0,0,0,0
96079,0,0,0,0,0
96379,1,0,0,0,0
96394,0,0,0,0,1
96402,0,0,0,0,1
96702,0,0,0,0,0
96802,1,0,0,0,1
96826,0,0,0,0,1
97126,1,0,0,0,0
97426,1,1,0,0,0
97565,1,0,0,0,1
97852,1,0,0,0,1
97993,1,0,0,0,1
98293,1,0,0,0,0
98449,1,0,0,0,1
98559,1,0,0,0,1
98859,1,0,0,0,0
99159,0,0,0,0,0
99398,1,0,0,0,1
99698,1,0,0,0,0
99801,1,0,0,0,1
99859,1,0,0,0,1
