ladder,arm,seed,stage,bin_center_step,rate,n_episodes_in_bin
nested_ramp,human,952,picked,3850000,0.9657,175
nested_ramp,human,952,picked,3950000,0.9615,182
nested_ramp,human,953,picked,50000,0.0412,97
nested_ramp,human,953,picked,150000,0.0882,102
nested_ramp,human,953,picked,250000,0.0357,112
nested_ramp,human,953,picked,350000,0.1000,110
nested_ramp,human,953,picked,450000,0.2358,106
nested_ramp,human,953,picked,550000,0.1122,98
nested_ramp,human,953,picked,650000,0.3250,120
nested_ramp,human,953,picked,750000,0.5102,147
nested_ramp,human,953,picked,850000,0.6750,160
nested_ramp,human,953,picked,950000,0.7976,168
nested_ramp,human,953,picked,1050000,0.8478,184
nested_ramp,human,953,picked,1150000,0.8683,167
nested_ramp,human,953,picked,1250000,0.8742,159
nested_ramp,human,953,picked,1350000,0.9214,140
nested_ramp,human,953,picked,1450000,0.8187,160
nested_ramp,human,953,picked,1550000,0.8619,210
nested_ramp,human,953,picked,1650000,0.8821,229
nested_ramp,human,953,picked,1750000,0.9098,255
nested_ramp,human,953,picked,1850000,0.8500,240
nested_ramp,human,953,picked,1950000,0.7292,277
nested_ramp,human,953,picked,2050000,0.7468,312
nested_ramp,human,953,picked,2150000,0.8139,360
nested_ramp,human,953,picked,2250000,0.9614,259
nested_ramp,human,953,picked,2350000,0.9188,308
nested_ramp,human,953,picked,2450000,0.8228,378
nested_ramp,human,953,picked,2550000,0.9053,359
nested_ramp,human,953,picked,2650000,0.9061,245
nested_ramp,human,953,picked,2750000,0.9524,210
nested_ramp,human,953,picked,2850000,0.9472,303
nested_ramp,human,953,picked,2950000,0.9542,262
nested_ramp,human,953,picked,3050000,0.9576,236
nested_ramp,human,953,picked,3150000,0.9557,271
nested_ramp,human,953,picked,3250000,0.9215,293
nested_ramp,human,953,picked,3350000,0.9735,226
nested_ramp,human,953,picked,3450000,0.9565,184
nested_ramp,human,953,picked,3550000,0.9550,222
nested_ramp,human,953,picked,3650000,0.9536,151
nested_ramp,human,953,picked,3750000,0.9390,164
nested_ramp,human,953,picked,3850000,0.9721,179
nested_ramp,human,953,picked,3950000,0.9556,180
nested_ramp,human,954,picked,50000,0.0114,88
nested_ramp,human,954,picked,150000,0.0900,100
nested_ramp,human,954,picked,250000,0.0667,105
nested_ramp,human,954,picked,350000,0.0865,104
nested_ramp,human,954,picked,450000,0.0404,99
nested_ramp,human,954,picked,550000,0.1019,108
nested_ramp,human,954,picked,650000,0.1918,146
nested_ramp,human,954,picked,750000,0.5735,136
nested_ramp,human,954,picked,850000,0.7381,168
nested_ramp,human,954,picked,950000,0.7634,186
nested_ramp,human,954,picked,1050000,0.7524,206
nested_ramp,human,954,picked,1150000,0.8272,191
nested_ramp,human,954,picked,1250000,0.8517,209
nested_ramp,human,954,picked,1350000,0.7879,231
nested_ramp,human,954,picked,1450000,0.8419,234
nested_ramp,human,954,picked,1550000,0.7860,229
nested_ramp,human,954,picked,1650000,0.8393,112
nested_ramp,human,954,picked,1750000,,0
nested_ramp,human,954,picked,1850000,,0
