comparison,arm_role,arm,seed,k,n,cell,statistic,action_mode,source,path
pick_rnd30_rlpd,human,dHv2raw,62,18,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s62/sweep/final_sweep.json
pick_rnd30_rlpd,human,dHv2raw,63,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s63/sweep/final_sweep.json
pick_rnd30_rlpd,human,dHv2raw,64,18,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s64/sweep/final_sweep.json
pick_rnd30_rlpd,human,dHv2raw,65,2,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s65/sweep/final/sweep.json
pick_rnd30_rlpd,human,dHv2raw,66,24,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s66/sweep/final_sweep.json
pick_rnd30_rlpd,human,dHv2raw,67,19,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dHv2raw_s67/sweep/final_sweep.json
pick_rnd30_rlpd,machine,dDPv2,50,18,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s50/sweep/final/sweep.json
pick_rnd30_rlpd,machine,dDPv2,51,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s51/sweep/final_sweep.json
pick_rnd30_rlpd,machine,dDPv2,52,19,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s52/sweep/final_sweep.json
pick_rnd30_rlpd,machine,dDPv2,53,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s53/sweep/final_sweep.json
pick_rnd30_rlpd,machine,dDPv2,54,19,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s54/sweep/final_sweep.json
pick_rnd30_rlpd,machine,dDPv2,55,0,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s55/sweep/final/sweep.json
pick_rnd30_rlpd,machine,dDPv2,56,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s56/sweep/final_sweep.json
pick_rnd30_rlpd,machine,dDPv2,57,20,30,final/rnd,picked,?,cluster:rlpd,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/rl/checkpoints/rlpd_g99v2fullw3_dDPv2_s57/sweep/final_sweep.json
