run,cell,arm,episodes,ep_diff,moved,structural_only,cols_changed,structural_cols,orig_host,orig_cores,orig_isa,rescore_host,rescore_cores,rescore_isa
full_r2d_state_dHfull_all_bnormclampS8ent5_s0,fresh_eval_rnd30_sample,human,30,0,0,1,placed_v2,placed_v2,pax033,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s1,fresh_eval_hold15_mode,human,15,0,0,0,,,pax033,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s1,fresh_eval_hold15_sample,human,15,0,0,1,placed_v2,placed_v2,pax033,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s1,fresh_eval_rnd30_mode,human,30,0,0,1,placed_v2,placed_v2,pax033,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s1,fresh_eval_rnd30_sample,human,30,0,0,1,placed_v2,placed_v2,pax033,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s2,fresh_eval_hold15_mode,human,15,6,1,0,contact|picked|placed|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s2,fresh_eval_hold15_sample,human,15,7,1,0,contact|nested|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s2,fresh_eval_rnd30_mode,human,30,14,1,0,contact|nested|picked|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s2,fresh_eval_rnd30_sample,human,30,16,1,0,nested|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s3,fresh_eval_hold15_mode,human,15,8,1,0,contact|nested|picked|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s3,fresh_eval_hold15_sample,human,15,9,1,0,contact|nested|picked|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s3,fresh_eval_rnd30_mode,human,30,19,1,0,contact|picked|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s3,fresh_eval_rnd30_sample,human,30,11,1,0,contact|nested|picked|placed_v2,placed_v2,pax109,36,avx2,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s4,fresh_eval_hold15_mode,human,15,0,0,0,,,pax047,96,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s4,fresh_eval_hold15_sample,human,15,0,0,1,placed_v2,placed_v2,pax047,96,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s4,fresh_eval_rnd30_mode,human,30,0,0,1,placed_v2,placed_v2,pax047,96,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s4,fresh_eval_rnd30_sample,human,30,0,0,1,placed_v2,placed_v2,pax047,96,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s5,fresh_eval_hold15_mode,human,15,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s5,fresh_eval_hold15_sample,human,15,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s5,fresh_eval_rnd30_mode,human,30,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s5,fresh_eval_rnd30_sample,human,30,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s6,fresh_eval_hold15_mode,human,15,0,0,0,,,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s6,fresh_eval_hold15_sample,human,15,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s6,fresh_eval_rnd30_mode,human,30,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s6,fresh_eval_rnd30_sample,human,30,0,0,1,placed_v2,placed_v2,pax064,64,avx512,,,
full_r2d_state_dHfull_all_bnormclampS8ent5_s7,fresh_eval_hold15_mode,human,15,0,0,0,,,pax111,64,avx512,,,
